node_n_id,born,name,released,tagline,title
Person_99,1930,Clint Eastwood,,,
Person_98,1930,Richard Harris,,,
Person_96,1931,Mike Nichols,,,
Person_94,1954,Zach Grenier,,,
Person_93,1974,Christian Bale,,,
Person_91,1950,Howard Deutch,,,
Person_90,1968,Orlando Jones,,,
Person_89,1930,Gene Hackman,,,
Person_88,1970,Brooke Langton,,,
Person_86,1977,Liv Tyler,,,
Person_84,1949,Bruno Kirby,,,
Person_83,1956,Carrie Fisher,,,
Person_82,1948,Billy Crystal,,,
Person_80,1956,Nathan Lane,,,
Person_8,1978,Emil Eifrem,,,
Person_79,1950,John Patrick Stanley,,,
Person_77,1962,Rosie O'Donnell,,,
Person_76,1949,Victor Garber,,,
Person_75,1953,Bill Pullman,,,
Person_74,1956,Rita Wilson,,,
Person_72,1941,Nora Ephron,,,
Person_71,1956,Tom Hanks,,,
Person_70,1967,Steve Zahn,,,
Person_7,1952,Joel Silver,,,
Person_69,1973,Dave Chappelle,,,
Person_68,1968,Parker Posey,,,
Person_66,1953,Scott Hicks,,,
Person_65,1940,James Cromwell,,,
Person_64,1971,Rick Yune,,,
Person_63,1970,Ethan Hawke,,,
Person_61,1956,Vincent Ward,,,
Person_60,1951,Robin Williams,,,
Person_6,1965,Lana Wachowski,,,
Person_59,1942,Werner Herzog,,,
Person_58,1929,Max von Sydow,,,
Person_57,1960,Annabella Sciorra,,,
Person_55,1940,James L. Brooks,,,
Person_54,1963,Greg Kinnear,,,
Person_53,1963,Helen Hunt,,,
Person_51,1942,Marshall Bell,,,
Person_50,1966,John Cusack,,,
Person_5,1964,Keanu Reeves,,,
Person_49,1972,Wil Wheaton,,,
Person_48,1971,Corey Feldman,,,
Person_47,1970,River Phoenix,,,
Person_45,1957,Cameron Crowe,,,
Person_44,1996,Jonathan Lipnicki,,,
Person_43,1971,Regina King,,,
Person_42,1961,Bonnie Hunt,,,
Person_41,1970,Jay Mohr,,,
Person_40,1974,Jerry O'Connell,,,
Person_39,1962,Kelly Preston,,,
Person_38,1969,Renee Zellweger,,,
Person_36,1941,Jim Cash,,,
Person_35,1944,Tony Scott,,,
Person_34,1961,Meg Ryan,,,
Person_33,1933,Tom Skerritt,,,
Person_32,1962,Anthony Edwards,,,
Person_31,1959,Val Kilmer,,,
Person_30,1957,Kelly McGillis,,,
Person_3,1967,Lilly Wachowski,,,
Person_28,1961,Aaron Sorkin,,,
Person_27,1947,Rob Reiner,,,
Person_26,1948,Christopher Guest,,,
Person_25,1967,James Marshall,,,
Person_24,1943,J.T. Walsh,,,
Person_23,1957,Kevin Pollak,,,
Person_22,1968,Cuba Gooding Jr.,,,
Person_21,1971,Noah Wyle,,,
Person_20,1966,Kiefer Sutherland,,,
Person_2,1960,Hugo Weaving,,,
Person_19,1958,Kevin Bacon,,,
Person_18,1962,Demi Moore,,,
Person_170,,James Thompson,,,
Person_17,1937,Jack Nicholson,,,
Person_169,,Jessica Thompson,,,
Person_168,,Angela Scope,,,
Person_167,,Paul Blythe,,,
Person_166,1943,Penny Marshall,,,
Person_165,1963,Lori Petty,,,
Person_164,1956,Geena Davis,,,
Person_163,1954,Madonna,,,
Person_160,1967,Julia Roberts,,,
Person_16,1962,Tom Cruise,,,
Person_158,1958,Chris Columbus,,,
Person_156,1949,Nancy Meyers,,,
Person_155,1946,Diane Keaton,,,
Person_153,1932,Milos Forman,,,
Person_151,1951,Robert Zemeckis,,,
Person_149,1943,Jan de Bont,,,
Person_148,1967,Philip Seymour Hoffman,,,
Person_146,1955,Bill Paxton,,,
Person_145,1950,Ed Harris,,,
Person_143,1965,John C. Reilly,,,
Person_142,1944,Danny DeVito,,,
Person_140,1960,Oliver Platt,,,
Person_14,1944,Taylor Hackford,,,
Person_139,1969,Michael Sheen,,,
Person_138,1938,Frank Langella,,,
Person_136,1959,Frank Darabont,,,
Person_135,1959,Patricia Clarkson,,,
Person_134,1955,Gary Sinise,,,
Person_133,1968,Sam Rockwell,,,
Person_132,1953,David Morse,,,
Person_131,1957,Michael Clarke Duncan,,,
Person_13,1940,Al Pacino,,,
Person_129,,Naomie Harris,,,
Person_127,1982,Rain,,,
Person_126,1980,Christina Ricci,,,
Person_125,1966,Matthew Fox,,,
Person_124,1946,Susan Sarandon,,,
Person_123,1960,John Goodman,,,
Person_122,1985,Emile Hirsch,,,
Person_120,1967,Ben Miles,,,
Person_12,1975,Charlize Theron,,,
Person_119,1940,John Hurt,,,
Person_118,1946,Stephen Rea,,,
Person_117,1981,Natalie Portman,,,
Person_115,1954,Ron Howard,,,
Person_114,1971,Paul Bettany,,,
Person_113,1976,Audrey Tautou,,,
Person_112,1939,Ian McKellen,,,
Person_110,1961,Stefan Arndt,,,
Person_109,1969,David Mitchell,,,
Person_108,1965,Tom Tykwer,,,
Person_107,1949,Jim Broadbent,,,
Person_106,1966,Halle Berry,,,
Person_104,1953,Robert Longo,,,
Person_103,1958,Ice-T,,,
Person_102,1968,Dina Meyer,,,
Person_101,1947,Takeshi Kitano,,,
Person_1,1961,Laurence Fishburne,,,
Person_0,1967,Carrie-Anne Moss,,,
Movie_97,,,1992,"It's a hell of a thing, killing a man",Unforgiven
Movie_95,,,1996,Come as you are,The Birdcage
Movie_92,,,2006,Based on the extraordinary true story of one man's fight for freedom,RescueDawn
Movie_9,,,2003,Free your mind,The Matrix Reloaded
Movie_87,,,2000,"Pain heals, Chicks dig scars... Glory lasts forever",The Replacements
Movie_85,,,1996,In every life there comes a time when that thing you dream becomes that thing you do,That Thing You Do
Movie_81,,,1998,Can two friends sleep together and still love each other in the morning?,When Harry Met Sally
Movie_78,,,1990,"A story of love, lava and burning desire.",Joe Versus the Volcano
Movie_73,,,1993,"What if someone you never met, someone you never saw, someone you never knew was the only someone for you?",Sleepless in Seattle
Movie_67,,,1998,At odds in life... in love on-line.,You've Got Mail
Movie_62,,,1999,First loves last. Forever.,Snow Falling on Cedars
Movie_56,,,1998,After life there is more. The end is just the beginning.,What Dreams May Come
Movie_52,,,1997,A comedy from the heart that goes for the throat.,As Good as It Gets
Movie_46,,,1986,"For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of.",Stand By Me
Movie_4,,,1999,Welcome to the Real World,The Matrix
Movie_37,,,2000,The rest of his life begins now.,Jerry Maguire
Movie_29,,,1986,"I feel the need, the need for speed.",Top Gun
Movie_162,,,1992,Once in a lifetime you get a chance to do something different.,A League of Their Own
Movie_161,,,2004,This Holiday Season... Believe,The Polar Express
Movie_159,,,2007,A stiff drink. A little mascara. A lot of nerve. Who said they couldn't bring down the Soviet empire.,Charlie Wilson's War
Movie_157,,,1999,One robot's 200 year journey to become an ordinary man.,Bicentennial Man
Movie_154,,,2003,,Something's Gotta Give
Movie_152,,,1975,"If he's crazy, what does that make you?",One Flew Over the Cuckoo's Nest
Movie_150,,,2000,"At the edge of the world, his journey begins.",Cast Away
Movie_15,,,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth.",A Few Good Men
Movie_147,,,1996,Don't Breathe. Don't Look Back.,Twister
Movie_144,,,1995,"Houston, we have a problem.",Apollo 13
Movie_141,,,1992,He didn't want law. He wanted justice.,Hoffa
Movie_137,,,2008,400 million people were waiting for the truth.,Frost/Nixon
Movie_130,,,1999,Walk a mile you'll never forget.,The Green Mile
Movie_128,,,2009,Prepare to enter a secret world of assassins,Ninja Assassin
Movie_121,,,2008,Speed has no limits,Speed Racer
Movie_116,,,2006,Freedom! Forever!,V for Vendetta
Movie_111,,,2006,Break The Codes,The Da Vinci Code
Movie_11,,,1997,Evil has its winning ways,The Devil's Advocate
Movie_105,,,2012,Everything is connected,Cloud Atlas
Movie_100,,,1995,The hottest data on earth. In the coolest head in town,Johnny Mnemonic
Movie_10,,,2003,Everything that has a beginning has an end,The Matrix Revolutions
